,open_time,close_time,volume,open,close,diff,target,yes_tokens_found,no_tokens_found,yes_prob_sum,no_prob_sum,softmax_probs_yes_no
10,2025-03-11,2025-03-11 23:59:59.999,48770.06853,78595.86,82932.99,4337.130000000005,1,['Yes'],"['No', ' No', 'NO']",0.0005527785602493887,0.9994472214397503,"[0.0005527785602493887, 0.9994471411410318, 7.730141725698002e-08, 2.9973012184088056e-09]"
11,2025-03-12,2025-03-12 23:59:59.999,31933.986,82932.99,83680.12,747.1299999999901,1,['Yes'],"['No', ' No', 'NO']",0.00043055710398570343,0.9995694428960143,"[0.00043055710398570343, 0.9995693859120167, 5.313491717757379e-08, 3.84908049037852e-09]"
12,2025-03-13,2025-03-13 23:59:59.999,27546.27412,83680.12,81115.78,-2564.3399999999965,0,['Yes'],"['No', ' No', 'NO']",0.014063627672163959,0.9859363723278362,"[0.014063627672163959, 0.9859363169608416, 5.24102126931056e-08, 2.956781870716888e-09]"
13,2025-03-14,2025-03-14 23:59:59.999,26858.52755,81115.78,83983.2,2867.4199999999983,1,"['Yes', ' Yes']","['No', ' No']",0.22270013176100315,0.7772998682389968,"[0.22270012362468888, 8.136314256182552e-09, 0.7772998081193143, 6.011968247746209e-08]"
14,2025-03-15,2025-03-15 23:59:59.999,11324.7332,83983.19,84338.44,355.25,1,['Yes'],"['No', ' No', 'NO']",0.014063624280424377,0.9859363757195755,"[0.014063624280424377, 0.9859362867003287, 8.640989403635001e-08, 2.6093527016975743e-09]"
15,2025-03-16,2025-03-16 23:59:59.999,17596.12531,84338.44,82574.53,-1763.9100000000035,0,"['Yes', ' Yes']","['No', ' No']",0.32082129405767884,0.6791787059423211,"[0.32082127215968603, 2.1897992805419717e-08, 0.6791786384917547, 6.745056639673964e-08]"
16,2025-03-17,2025-03-17 23:59:59.999,17214.74358,82574.52,84010.03,1435.5099999999948,1,"['Yes', ' Yes', 'YES']",['No'],0.9770226303104815,0.02297736968951854,"[0.9770226006954642, 2.16503124483782e-08, 7.964704844696493e-09, 0.02297736968951854]"
17,2025-03-18,2025-03-18 23:59:59.999,17610.89883,84010.02,82715.03,-1294.9900000000052,0,['Yes'],"['No', ' No', 'NO']",0.0066928495133262295,0.9933071504866738,"[0.0066928495133262295, 0.9933070983236946, 4.659767999972522e-08, 5.565299236709937e-09]"
18,2025-03-19,2025-03-19 23:59:59.999,28151.05374,82715.03,86845.94,4130.9100000000035,1,['Yes'],"['No', ' No', 'NO']",0.07585818283511361,0.9241418171648865,"[0.07585818283511361, 0.9241417578632093, 4.3352999841536273e-08, 1.5948677354809994e-08]"
19,2025-03-20,2025-03-20 23:59:59.999,22090.30463,86845.93,84223.39,-2622.5399999999936,0,['Yes'],"['No', ' No', 'NO']",0.0009110510162078592,0.9990889489837922,"[0.0009110510162078592, 0.9990888542335965, 8.756261827994982e-08, 7.187577401014656e-09]"
20,2025-03-21,2025-03-21 23:59:59.999,11956.97443,84223.38,84088.79,-134.59000000001106,0,"['Yes', ' Yes']","['No', ' No']",0.9820137851748375,0.017986214825162314,"[0.9820137181464615, 6.702837598448411e-08, 0.017986212531577415, 2.293584899675912e-09]"
21,2025-03-22,2025-03-22 23:59:59.999,5420.22114,84088.79,83840.59,-248.1999999999971,0,"['Yes', ' Yes']","['No', ' No', 'NO']",0.09534945164536997,0.9046505483546301,"[0.0953494471723678, 4.473002160107447e-09, 0.9046504208356135, 1.1536013614345842e-07, 1.2158880490478129e-08]"
22,2025-03-23,2025-03-23 23:59:59.999,8461.97813,83840.59,86082.5,2241.9100000000035,1,"['Yes', ' Yes']","['No', ' No', 'NO']",0.09534946064509518,0.9046505393549047,"[0.09534945413691497, 6.5081802158977106e-09, 0.9046503790706657, 1.4812535770018142e-07, 1.2158881378591266e-08]"
23,2025-03-24,2025-03-24 23:59:59.999,30115.62111,86082.5,87498.16,1415.6600000000035,1,"['Yes', ' Yes']","['No', ' No']",0.851952785861736,0.14804721413826408,"[0.8519527111944656, 7.466727034868261e-08, 0.1480471866697104, 2.7468553689670368e-08]"
24,2025-03-25,2025-03-25 23:59:59.999,22643.25248,87498.16,87392.87,-105.29000000000815,0,"['Yes', ' Yes', 'YES']",['No'],0.9999599363065126,4.0063693487367506e-05,"[0.9999598959142416, 3.2240576656799116e-08, 8.151694370417035e-09, 4.0063693487367506e-05]"
25,2025-03-26,2025-03-26 23:59:59.999,18408.78485,87392.88,86909.17,-483.7100000000064,0,"['Yes', ' Yes', 'YES']",['No'],0.9933071502950095,0.006692849704990637,"[0.9933070823649315, 5.2802040164321544e-08, 1.5128037791082543e-08, 0.006692849704990637]"
26,2025-03-27,2025-03-27 23:59:59.999,17098.03897,86909.17,87232.01,322.8399999999965,1,"['Yes', ' Yes', 'YES']",['No'],0.9999945777809227,5.422219077219995e-06,"[0.9999945477266431, 2.5109855902019426e-08, 4.944423789802564e-09, 5.422219077219995e-06]"
27,2025-03-28,2025-03-28 23:59:59.999,27182.73169,87232.01,84424.38,-2807.62999999999,0,"['Yes', ' Yes', 'YES']","['No', ' No']",0.9525741309316546,0.04742586906834552,"[0.9525740933659106, 3.071279343841652e-08, 6.852950518519523e-09, 0.047425866211610726, 2.85673479390693e-09]"
28,2025-03-29,2025-03-29 23:59:59.999,11696.39864,84424.38,82648.54,-1775.840000000011,0,"['Yes', ' Yes', 'YES']",['No'],0.999569442910153,0.0004305570898472627,"[0.9995693777580266, 6.02098046469779e-08, 4.942321731592396e-09, 0.0004305570898472627]"
29,2025-03-30,2025-03-30 23:59:59.999,9864.49508,82648.53,82389.99,-258.5399999999936,0,"['Yes', ' Yes']",['No'],0.9820137899235453,0.017986210076454866,"[0.9820137139704913, 7.595305397353534e-08, 0.017986210076454866]"
30,2025-03-31,2025-03-31 23:59:59.999,20569.13885,82390.0,82550.01,160.00999999999476,1,['Yes'],"['No', ' No', 'NO']",0.0031726818959494853,0.9968273181040505,"[0.0031726818959494853, 0.9968272175071354, 9.899678108356706e-08, 1.6001339352900782e-09]"
31,2025-04-01,2025-04-01 23:59:59.999,20190.39697,82550.0,85158.34,2608.3399999999965,1,['Yes'],"['No', ' No', 'NO']",3.9278621664726636e-07,0.9999996072137834,"[3.9278621664726636e-07, 0.9999995748226489, 3.2241825304761904e-08, 1.4930927280712814e-10]"
32,2025-04-02,2025-04-02 23:59:59.999,39931.457,85158.35,82516.29,-2642.060000000012,0,['Yes'],"['No', ' No', 'NO']",6.9622546278622025e-06,0.9999930377453721,"[6.9622546278622025e-06, 0.999992969272587, 6.825554264311512e-08, 2.1724243037985347e-10]"
33,2025-04-03,2025-04-03 23:59:59.999,27337.84135,82516.28,83213.09,696.8099999999977,1,['Yes'],"['No', ' No', 'NO']",0.0007096702194179217,0.9992903297805821,"[0.0007096702194179217, 0.9992902817997269, 4.687838125338534e-08, 1.102473856458218e-09]"
34,2025-04-04,2025-04-04 23:59:59.999,32915.53976,83213.09,83889.87,676.7799999999988,1,['Yes'],"['No', ' No', 'NO']",1.1253519125135456e-07,0.9999998874648088,"[1.1253519125135456e-07, 0.9999998340897045, 5.315786035345315e-08, 2.1724402542235372e-10]"
35,2025-04-05,2025-04-05 23:59:59.999,9360.40468,83889.87,83537.99,-351.8799999999901,0,['Yes'],"['No', ' No', 'NO']",3.653484872924929e-08,0.9999999634651513,"[3.653484872924929e-08, 0.9999999382233762, 2.511000983386301e-08, 1.3176523860682162e-10]"
36,2025-04-06,2025-04-06 23:59:59.999,27942.71436,83537.99,78430.0,-5107.990000000005,0,"['Yes', ' Yes', 'YES']",['No'],0.9820137889422496,0.01798621105775047,"[0.9820137584016957, 2.794158189907207e-08, 2.5989719680801093e-09, 0.01798621105775047]"
37,2025-04-07,2025-04-07 23:59:59.999,78387.53089,78430.0,79163.24,733.2400000000052,1,['Yes'],"['No', ' No', 'NO']",0.00012339454852558756,0.9998766054514743,"[0.00012339454852558756, 0.9998764410649261, 1.637174722791601e-07, 6.690758896880041e-10]"
38,2025-04-08,2025-04-08 23:59:59.999,35317.32063,79163.24,76322.42,-2840.820000000007,0,['Yes'],"['No', ' No', 'NO']",8.764251749825331e-08,0.9999999123574823,"[8.764251749825331e-08, 0.9999998519525298, 6.023576264279967e-08, 1.6918986041391248e-10]"
39,2025-04-09,2025-04-09 23:59:59.999,75488.28772,76322.42,82615.22,6292.800000000003,1,['Yes'],"['No', ' No', 'NO']",1.0677025264958842e-06,0.9999989322974735,"[1.0677025264958842e-06, 0.999998906970249, 2.5109980614681213e-08, 2.1724389883448956e-10]"
40,2025-04-10,2025-04-10 23:59:59.999,33284.80718,82615.22,79607.3,-3007.9199999999983,0,['Yes'],"['No', ' No', 'NO']",2.6995775404217395e-07,0.9999997300422461,"[2.6995775404217395e-07, 0.9999996883639369, 4.139936242066894e-08, 2.7894670978639796e-10]"
41,2025-04-11,2025-04-11 23:59:59.999,34435.43797,79607.3,83423.84,3816.5399999999936,1,"['Yes', ' Yes']","['No', ' No']",0.9525741301511605,0.047425869848839494,"[0.9525741090426066, 2.1108553868637992e-08, 0.04742586699210738, 2.856732116527419e-09]"
42,2025-04-12,2025-04-12 23:59:59.999,18470.74437,83423.83,85276.9,1853.0699999999924,1,"['Yes', ' Yes']","['No', ' No']",0.26894141513040754,0.7310585848695924,"[0.2689414008340568, 1.4296350737094493e-08, 0.7310584792330548, 1.0563653760637978e-07]"
43,2025-04-13,2025-04-13 23:59:59.999,24680.04181,85276.91,83760.0,-1516.9100000000035,0,"['Yes', ' Yes']","['No', ' No']",0.5621764866315486,0.43782351336845127,"[0.5621764633578029, 2.3273745742116695e-08, 0.43782346988736986, 4.348108139701491e-08]"
44,2025-04-14,2025-04-14 23:59:59.999,28659.09348,83760.0,84591.58,831.5800000000017,1,"['Yes', ' Yes']","['No', ' No']",0.9525741249036561,0.04742587509634396,"[0.952574090101524, 3.4802132085016014e-08, 0.04742586975926415, 5.337079812030451e-09]"
45,2025-04-15,2025-04-15 23:59:59.999,20910.99528,84591.58,83643.99,-947.5899999999965,0,"['Yes', ' Yes', 'YES']","['No', ' No']",0.952574122820383,0.04742587717961683,"[0.9525740873976585, 3.071276887580137e-08, 4.70995565266447e-09, 0.047425873511499676, 3.6681171505266786e-09]"
46,2025-04-16,2025-04-16 23:59:59.999,20867.24519,83643.99,84030.38,386.3899999999994,1,"['Yes', ' Yes', 'YES']",['No'],0.9999984465016248,1.5534983754120239e-06,"[0.9999984141975721, 2.8453315258281834e-08, 3.850737479500206e-09, 1.5534983754120239e-06]"
47,2025-04-17,2025-04-17 23:59:59.999,13728.84772,84030.38,84947.91,917.5299999999988,1,"['Yes', ' Yes']","['No', ' No']",0.6224593216299635,0.3775406783700365,"[0.6224592924293998, 2.9200563750644338e-08, 0.37754064528146286, 3.3088573642721876e-08]"
48,2025-04-18,2025-04-18 23:59:59.999,6529.96315,84947.92,84474.69,-473.2299999999959,0,"['Yes', ' Yes', 'YES']","['No', ' No']",0.8807970649307091,0.11920293506929089,"[0.8807970212859509, 3.6464476908383485e-08, 7.1802812334744425e-09, 0.11920292323100849, 1.1838282399238266e-08]"
49,2025-04-19,2025-04-19 23:59:59.999,9666.58153,84474.7,85077.01,602.3099999999977,1,"['Yes', ' Yes', 'YES']",['No'],0.9988304899189584,0.0011695100810415714,"[0.9988303883902193, 9.919587577741512e-08, 2.3328633964974985e-09, 0.0011695100810415714]"
50,2025-04-20,2025-04-20 23:59:59.999,8091.67725,85077.0,85179.24,102.24000000000524,1,"['Yes', ' Yes', 'YES']",['No'],0.9997388096924644,0.00026119030753552933,"[0.9997387365111725, 6.823813785092076e-08, 4.943154126390458e-09, 0.00026119030753552933]"
51,2025-04-21,2025-04-21 23:59:59.999,31773.37262,85179.24,87516.23,2336.9899999999907,1,"['Yes', ' Yes']",['No'],0.8807970741926493,0.11920292580735066,"[0.8807970140728894, 6.011976000317857e-08, 0.11920292580735066]"
52,2025-04-22,2025-04-22 23:59:59.999,43872.74705,87516.22,93442.99,5926.770000000004,1,"['Yes', ' Yes']","['No', ' No', 'NO']",0.14804720130050225,0.8519527986994977,"[0.14804719708806482, 4.212437428147502e-09, 0.8519527457577833, 3.9966493545452985e-08, 1.2975220741192871e-08]"
53,2025-04-23,2025-04-23 23:59:59.999,27404.16808,93442.99,93691.08,248.0899999999965,1,"['Yes', ' Yes', 'YES']",['No'],0.9998766053791167,0.00012339462088317403,"[0.9998765509844526, 3.223790063072426e-08, 2.2156763474225506e-08, 0.00012339462088317403]"
54,2025-04-24,2025-04-24 23:59:59.999,19497.06071,93691.07,93980.47,289.3999999999942,1,"['Yes', ' Yes', 'YES']",['No'],0.999290329737399,0.0007096702626010495,"[0.9992902233069275, 9.924144528693414e-08, 7.1890261843134684e-09, 0.0007096702626010495]"
